Company,Year,Total Assets,Total Liabilities,Revenue,Net Profit,Method,File,Status,Success Level,Currency,Unit,Language,company,year,total_assets,total_liabilities,revenue,net_profit,success_level,method,file
Creditas,2024.0,6544706.0,6310820.0,530699.0,-99650.0,regex,Creditas_2024_Annual.pdf,Success,Complete,,,,,,,,,,,,
Creditas,2024.0,6096831.0,5765880.0,517435.0,-19049.0,regex,Creditas_2024_Q3.pdf,Success,Complete,,,,,,,,,,,,
Creditas,2022.0,6952823.0,6373110.0,22.0,-1483738.0,regex,Creditas_2022_Annual.pdf,Success,Complete,,,,,,,,,,,,
Creditas,2023.0,5906337.0,5559535.0,474932.0,-1154191.0,regex,Creditas_2023_Annual.pdf,Success,Complete,,,,,,,,,,,,
Card,2024.0,348036477.0,339965483.0,1637570.0,,regex,Card_by_Coinbase_2024_Q1.pdf,Success,Partial(3/4),,,,,,,,,,,,
Card,2024.0,286959173.0,278588404.0,1449628.0,,regex,Card_by_Coinbase_2024_Q2.pdf,Success,Partial(3/4),,,,,,,,,,,,
Digio,2017.0,1.578,,,,regex,Digio_2017_Q3、Q4.pdf,Success,Partial(1/4),,,,,,,,,,,,
Digio,2020.0,2.529,2.529,,9.242,regex,Digio_2020_Q1、Q2.pdf,Success,Partial(3/4),,,,,,,,,,,,
Digio,2021.0,3.853,3.853,,,regex,Digio_2021_Q3、Q4.pdf,Success,Partial(2/4),,,,,,,,,,,,
Digio,2022.0,4.973,4.973,,,regex,Digio_2022_Q3、Q4.pdf,Success,Partial(2/4),,,,,,,,,,,,
Digio,2022.0,3.855,3.855,,,regex,Digio_2022_Q1、Q2.pdf,Success,Partial(2/4),,,,,,,,,,,,
Digio,2021.0,3.262,3.262,,,regex,Digio_2021_Q1、Q2.pdf,Success,Partial(2/4),,,,,,,,,,,,
Digio,2023.0,6.515,6.515,,,regex,Digio_2023_Q1、Q2.pdf,Success,Partial(2/4),,,,,,,,,,,,
Digio,2024.0,14.022,14.022,,,regex,Digio_2024_Q1、Q2.pdf,Success,Partial(2/4),,,,,,,,,,,,
Digio,2023.0,7.976,7.976,,,regex,Digio_2023_Q3、Q4.pdf,Success,Partial(2/4),,,,,,,,,,,,
Divvy,2022.0,8564205.0,4454994.0,116403.0,-75685.0,regex,Divvy_2022_Q1.pdf,Success,Complete,,,,,,,,,,,,
Discovery,2022.0,301.0,237.0,59.0,86.0,regex,Discovery_Bank_2022_23_Annual.pdf,Success,Complete,,,,,,,,,,,,
Divvy,2022.0,9510958.0,5417631.0,156478.0,-80440.0,regex,Divvy_2022_Q2.pdf,Success,Complete,,,,,,,,,,,,
Divvy,2022.0,9183836.0,5115520.0,166911.0,-86720.0,regex,Divvy_2022_Q3.pdf,Success,Complete,,,,,,,,,,,,
Divvy,2023.0,9738274.0,5654397.0,260006.0,-95076.0,regex,Divvy_2023_Q2.pdf,Success,Complete,,,,,,,,,,,,
Divvy,2023.0,9380885.0,5276548.0,272555.0,-31138.0,regex,Divvy_2023_Q3.pdf,Success,Complete,,,,,,,,,,,,
Divvy,2024.0,9620383.0,5502270.0,304985.0,-27861.0,regex,Divvy_2024_Q1.pdf,Success,Complete,,,,,,,,,,,,
Divvy,2023.0,9253099.0,5205568.0,229924.0,-81640.0,regex,Divvy_2023_Q1.pdf,Success,Complete,,,,,,,,,,,,
Divvy,2024.0,9872411.0,5920566.0,318495.0,-40421.0,regex,Divvy_2024_Q2.pdf,Success,Complete,,,,,,,,,,,,
Divvy,2024.0,9122258.0,5063525.0,323028.0,-36473.0,regex,Divvy_2024_Q3.pdf,Success,Complete,,,,,,,,,,,,
Discovery,2023.0,284.0,226.0,2.3,31.0,regex,Discovery_Bank_2023_24_Annual.pdf,Success,Complete,,,,,,,,,,,,
Easynvest,2021.0,14926098.0,13020695.0,480907.0,-34357.0,regex,Easynvest_2021_Q3.pdf,Success,Complete,,,,,,,,,,,,
Easynvest,2022.0,29916559.0,25025776.0,4792231.0,-364634.0,regex,Easynvest_2022_Annual.pdf,Success,Complete,,,,,,,,,,,,
Divvy,2025.0,9045061.0,5031816.0,358450.0,,regex,Divvy_2025_Q1.pdf,Success,Partial(3/4),,,,,,,,,,,,
Divvy,2025.0,9674206.0,5864812.0,362554.0,,regex,Divvy_2025_Q2.pdf,Success,Partial(3/4),,,,,,,,,,,,
Easynvest,2023.0,29489391.0,24280870.0,1618667.0,,regex,Easynvest_2023_Q1.pdf,Success,Partial(3/4),,,,,,,,,,,,
Easynvest,2021.0,19858681.0,15416140.0,1698023.0,-165334.0,regex,Easynvest_2021_Annual.pdf,Success,Complete,,,,,,,,,,,,
Easynvest,2023.0,33608083.0,27963484.0,1868640.0,,regex,Easynvest_2023_Q2.pdf,Success,Partial(3/4),,,,,,,,,,,,
Easynvest,2022.0,24258003.0,19467421.0,877267.0,,regex,Easynvest_2022_Q1.pdf,Success,Partial(3/4),,,,,,,,,,,,
Easynvest,2023.0,35693242.0,29803924.0,2136758.0,,regex,Easynvest_2023_Q3.pdf,Success,Partial(3/4),,,,,,,,,,,,
Easynvest,2023.0,43345195.0,36938810.0,8028976.0,,regex,Easynvest_2023_Annual.pdf,Success,Partial(3/4),,,,,,,,,,,,
Easynvest,2024.0,49931214.0,42284138.0,11517075.0,,regex,Easynvest_2024_Annual.pdf,Success,Partial(3/4),,,,,,,,,,,,
Easynvest,2022.0,25188681.0,20450522.0,1157561.0,-29850.0,regex,Easynvest_2022_Q2.pdf,Success,Complete,,,,,,,,,,,,
Easynvest,2024.0,43839497.0,37036806.0,2735901.0,378814.0,regex,Easynvest_2024_Q1.pdf,Success,Complete,,,,,,,,,,,,
Easynvest,2022.0,26006988.0,21254306.0,1306867.0,,regex,Easynvest_2022_Q3.pdf,Success,Partial(3/4),,,,,,,,,,,,
Easynvest,2024.0,44802730.0,37879290.0,2848691.0,487272.0,regex,Easynvest_2024_Q2.pdf,Success,Complete,,,,,,,,,,,,
Easynvest,2024.0,48637850.0,40993502.0,2943188.0,553386.0,regex,Easynvest_2024_Q3.pdf,Success,Complete,,,,,,,,,,,,
GXS,2023.0,946944544.0,602176121.0,,-208196372.0,regex,GXS_Bank_2023_Annual.pdf,Success,Partial(3/4),,,,,,,,,,,,
GXS,2022.0,268209564.0,77215882.0,,-131120894.0,regex,GXS_Bank_2022_Annual.pdf,Success,Partial(3/4),,,,,,,,,,,,
Green,2022.0,157569685.0,31549363.0,,,regex,Green_Link_Digital_Bank_2022_Annual.pdf,Success,Partial(2/4),,,,,,,,,,,,
Green,2023.0,497163.0,351150.0,,-30007.0,regex,Green_Link_Digital_Bank_2023_Annual.pdf,Success,Partial(3/4),,,,,,,,,,,,
ING,2007.0,42103091.0,40163285.0,,171151.0,regex,ING_2007_Annual.pdf,Success,Partial(3/4),,,,,,,,,,,,
ING,2010.0,46.0,,,,regex,ING_2010_Q1、Q2.pdf,Success,Partial(1/4),,,,,,,,,,,,
ING,2011.0,48203.0,,,,regex,ING_2011_Q1、Q2.pdf,Success,Partial(1/4),,,,,,,,,,,,
ING,2013.0,49813765.0,46282169.0,,271465.0,regex,ING_2013_Annual.pdf,Success,Partial(3/4),,,,,,,,,,,,
ING,2010.0,,,,275865.0,regex,ING_2010_Annual.pdf,Success,Partial(1/4),,,,,,,,,,,,
ING,2011.0,,,,304270.0,regex,ING_2011_Annual.pdf,Success,Partial(1/4),,,,,,,,,,,,
ING,2015.0,49870852.0,46370966.0,,314662.0,regex,ING_2015_Annual.pdf,Success,Partial(3/4),,,,,,,,,,,,
ING,2016.0,,,,295.0,regex,ING_2016_Annual.pdf,Success,Partial(1/4),,,,,,,,,,,,
ING,2017.0,58144.0,54041.0,,348.0,regex,ING_2017_Annual.pdf,Success,Partial(3/4),,,,,,,,,,,,
ING,2018.0,64643.0,60171.0,,401.0,regex,ING_2018_Annual.pdf,Success,Partial(3/4),,,,,,,,,,,,
ING,2019.0,69951.0,65108.0,,440.0,regex,ING_2019_Annual.pdf,Success,Partial(3/4),,,,,,,,,,,,
ING,2021.0,77749.0,71924.0,,549.0,regex,ING_2021_Annual.pdf,Success,Partial(3/4),,,,,,,,,,,,
ING,2022.0,83556.0,77444.0,,589.0,regex,ING_2022_Annual.pdf,Success,Partial(3/4),,,,,,,,,,,,
ING,2023.0,86981.0,80927.0,,654.0,regex,ING_2023_Annual.pdf,Success,Partial(3/4),,,,,,,,,,,,
Inbank,2016.0,4200.0,,,,regex,Inbank_2016_Annual.pdf,Success,Partial(1/4),,,,,,,,,,,,
Inbank,2015.0,,,2600.0,1000.0,regex,Inbank_2015_Annual.pdf,Success,Partial(2/4),,,,,,,,,,,,
ING,2020.0,73045.0,67890.0,,375.0,regex,ING_2020_Annual.pdf,Success,Partial(3/4),,,,,,,,,,,,
Inbank,2017.0,125000.0,,,,regex,Inbank_2017_Annual.pdf,Success,Partial(1/4),,,,,,,,,,,,
Inbank,2018.0,318000.0,,,,regex,Inbank_2018_Annual.pdf,Success,Partial(1/4),,,,,,,,,,,,
Inbank,2020.0,318.0,,,9.3,regex,Inbank_2020_Annual.pdf,Success,Partial(2/4),,,,,,,,,,,,
Inbank,2024.0,490.0,,,34.8,regex,Inbank_2024_Annual.pdf,Success,Partial(2/4),,,,,,,,,,,,
Inbank,2021.0,462.8,,,10.0,regex,Inbank_2021_Annual.pdf,Success,Partial(2/4),,,,,,,,,,,,
Inter,2021.0,,28.176,,,regex,Inter_2021_Annual.pdf,Success,Partial(1/4),,,,,,,,,,,,
Inbank,2019.0,318.0,,,9.0,regex,Inbank_2019_Annual.pdf,Success,Partial(2/4),,,,,,,,,,,,
Inter,2022.0,,33.818,,,regex,Inter_2022_Q2.pdf,Success,Partial(1/4),,,,,,,,,,,,
Inter,2022.0,,36.703,,,regex,Inter_2022_Q3.pdf,Success,Partial(1/4),,,,,,,,,,,,
Inter,2022.0,,39.253,,,regex,Inter_2022_Annual.pdf,Success,Partial(1/4),,,,,,,,,,,,
Inter,2023.0,,47.71,,,regex,Inter_2023_Q3.pdf,Success,Partial(1/4),,,,,,,,,,,,
Inter,2024.0,,,,972.841,regex,Inter_2024_Annual.pdf,Success,Partial(1/4),,,,,,,,,,,,
Inter,2024.0,,54.008,,195.22,regex,Inter_2024_Q1.pdf,Success,Partial(2/4),,,,,,,,,,,,
Inter,2024.0,,57.965,,222.664,regex,Inter_2024_Q2.pdf,Success,Partial(2/4),,,,,,,,,,,,
Inter,2024.0,,,,260.011,regex,Inter_2024_Q3.pdf,Success,Partial(1/4),,,,,,,,,,,,
Kabbage,2011.0,153337.0,,,4935.0,regex,Kabbage_2011_Annual.pdf,Success,Partial(2/4),,,,,,,,,,,,
Kabbage,2008.0,126074.0,,,2699.0,regex,Kabbage_2008_Annual.pdf,Success,Partial(2/4),,,,,,,,,,,,
Kabbage,2010.0,147042.0,,,4057.0,regex,Kabbage_2010_Annual.pdf,Success,Partial(2/4),,,,,,,,,,,,
Kabbage,2012.0,153140.0,,,4482.0,regex,Kabbage_2012_Annual.pdf,Success,Partial(2/4),,,,,,,,,,,,
Kabbage,2014.0,159103000000.0,,,5885000000.0,regex,Kabbage_2014_Annual.pdf,Success,Partial(2/4),,,,,,,,,,,,
KakaoBank,2017.0,,5174347977648.0,,,regex,KakaoBank_2017_Annual.pdf,Success,Partial(1/4),,,,,,,,,,,,
Kabbage,2021.0,,,17.0,,regex,Kabbage_2021_Annual.pdf,Success,Partial(1/4),,,,,,,,,,,,
KakaoBank,2019.0,,21045386916505.0,,,regex,KakaoBank_2019_Annual.pdf,Success,Partial(1/4),,,,,,,,,,,,
KakaoBank,2020.0,,23853027948741.0,,16.0,regex,KakaoBank_2020_Annual.pdf,Success,Partial(2/4),,,,,,,,,,,,
KakaoBank,2022.0,,33800969.0,,17.0,regex,KakaoBank_2022_Annual.pdf,Success,Partial(2/4),,,,,,,,,,,,
KakaoBank,2023.0,,48370463.0,,17.0,regex,KakaoBank_2023_Annual.pdf,Success,Partial(2/4),,,,,,,,,,,,
Kabbage,2013.0,153375.0,,,5359.0,regex,Kabbage_2013_Annual.pdf,Success,Partial(2/4),,,,,,,,,,,,
Kabbage,2009.0,124088.0,,,2130.0,regex,Kabbage_2009_Annual.pdf,Success,Partial(2/4),,,,,,,,,,,,
Azlo,2019.0,11.3,344262.0,4286.0,1271.0,regex,Azlo_2019_Q1.pdf,Success,Complete,,,,,,,,,,,,
Azlo,2021.0,10.6,420535.0,4220.0,1826.0,regex,Azlo_2021_Q1.pdf,Success,Complete,,,,,,,,,,,,
Azlo,2020.0,10.2,396203.0,4517.0,915.0,regex,Azlo_2020_Q1.pdf,Success,Complete,,,,,,,,,,,,
Azlo,2019.0,11.2,356380.0,4439.0,1374.0,regex,Azlo_2019_Q2.pdf,Success,Complete,,,,,,,,,,,,
Azlo,2020.0,10.8,408507.0,4281.0,1532.0,regex,Azlo_2020_Q3.pdf,Success,Complete,,,,,,,,,,,,
Azlo,2019.0,11.1,359461.0,4493.0,1392.0,regex,Azlo_2019_Q3.pdf,Success,Complete,,,,,,,,,,,,
Azlo,2021.0,9.3,497218.0,5197.0,1490.0,regex,Azlo_2021_Q3.pdf,Success,Complete,,,,,,,,,,,,
Azlo,2020.0,10.7,406030.0,4076.0,3655.0,regex,Azlo_2020_Q2.pdf,Success,Complete,,,,,,,,,,,,
Azlo,2021.0,9.2,499527.0,4667.0,1103.0,regex,Azlo_2021_Q2.pdf,Success,Complete,,,,,,,,,,,,
Azlo,2023.0,7.5,508861.0,5293.0,1500.0,regex,Azlo_2023_Q2.pdf,Success,Complete,,,,,,,,,,,,
Azlo,2022.0,8.2,492030.0,4692.0,1429.0,regex,Azlo_2022_Q1.pdf,Success,Complete,,,,,,,,,,,,
Azlo,2023.0,7.4,512703.0,5603.0,1694.0,regex,Azlo_2023_Q1.pdf,Success,Complete,,,,,,,,,,,,
Azlo,2022.0,7.1,512754.0,5549.0,1640.0,regex,Azlo_2022_Q3.pdf,Success,Complete,,,,,,,,,,,,
Azlo,2023.0,7.6,507853.0,5233.0,1570.0,regex,Azlo_2023_Q3.pdf,Success,Complete,,,,,,,,,,,,
Azlo,2024.0,8.0,514788.0,5145.0,1344.0,regex,Azlo_2024_Q1.pdf,Success,Complete,,,,,,,,,,,,
Azlo,2024.0,8.8,509152.0,5432.0,1505.0,regex,Azlo_2024_Q3.pdf,Success,Complete,,,,,,,,,,,,
Azlo,2024.0,8.3,503838.0,5411.0,1477.0,regex,Azlo_2024_Q2.pdf,Success,Complete,,,,,,,,,,,,
Better.com,2024.0,841586.0,765296.0,2817.0,-51492.0,regex,Better.com_2024_Q1.pdf,Success,Complete,,,,,,,,,,,,
Better.com,2023.0,937055.0,779823.0,,-340033.0,regex,Better.com_2023_Q3.pdf,Success,Partial(3/4),,,,,,,,,,,,
Azlo,2022.0,7.7,493098.0,5116.0,1496.0,regex,Azlo_2022_Q2.pdf,Success,Complete,,,,,,,,,,,,
