Company,Year,Total Assets,Total Liabilities,Revenue,Net Profit,File,Status
Acorns,2015,,,,,Acorns_2015_16_Annual.pdf,Failed
Acorns,2023,1233946951.0,,,,Acorns_2023_24_Q1_Q2.pdf,Success
Azlo,2013,1.0,258734.0,64.0,1004.0,Azlo_2013_Q1.pdf,Success
Card,2024,290558608.0,281830486.0,1205193.0,,Card_by_Coinbase_2024_Q3.pdf,Success
Creditas,2024,5906337.0,5559535.0,429719.0,,Creditas_2024_Q2.pdf,Success
Klar,2020,,,,,Klar_2020_Q3.pdf,Failed
LINE,2024,12783431.0,6986580.0,,198176.0,LINE_Pay_2024_Q2.pdf,Success
Livi,2019,,,,,Livi_Bank_2019_Annual.pdf,Failed
Shawbrook,2011,217132.0,186334.0,,,Shawbrook_Bank_2011_Annual.pdf,Success
Stori,2024,,,,,Stori_2024_Q1.pdf,Failed
