Company,Year,Total Assets,Total Liabilities,Revenue,Net Profit,Success Level,File
Creditas,2024,6544706.0,6310820.0,530699.0,-99650.0,Complete,Creditas_2024_Annual.pdf
Creditas,2024,6096831.0,5765880.0,517435.0,-19049.0,Complete,Creditas_2024_Q3.pdf
Creditas,2022,6952823.0,6373110.0,22.0,-1483738.0,Complete,Creditas_2022_Annual.pdf
Creditas,2023,5906337.0,5559535.0,474932.0,-1154191.0,Complete,Creditas_2023_Annual.pdf
Card,2024,348036477.0,339965483.0,1637570.0,,Partial(3/4),Card_by_Coinbase_2024_Q1.pdf
Card,2024,286959173.0,278588404.0,1449628.0,,Partial(3/4),Card_by_Coinbase_2024_Q2.pdf
Digio,2017,1.578,,,,Partial(1/4),Digio_2017_Q3、Q4.pdf
Digio,2020,2.529,2.529,,9.242,Partial(3/4),Digio_2020_Q1、Q2.pdf
Digio,2021,3.853,3.853,,,Partial(2/4),Digio_2021_Q3、Q4.pdf
Digio,2022,4.973,4.973,,,Partial(2/4),Digio_2022_Q3、Q4.pdf
Digio,2022,3.855,3.855,,,Partial(2/4),Digio_2022_Q1、Q2.pdf
Digio,2021,3.262,3.262,,,Partial(2/4),Digio_2021_Q1、Q2.pdf
Digio,2023,6.515,6.515,,,Partial(2/4),Digio_2023_Q1、Q2.pdf
Digio,2024,14.022,14.022,,,Partial(2/4),Digio_2024_Q1、Q2.pdf
Digio,2023,7.976,7.976,,,Partial(2/4),Digio_2023_Q3、Q4.pdf
Divvy,2022,8564205.0,4454994.0,116403.0,-75685.0,Complete,Divvy_2022_Q1.pdf
Discovery,2022,301.0,237.0,59.0,86.0,Complete,Discovery_Bank_2022_23_Annual.pdf
Divvy,2022,9510958.0,5417631.0,156478.0,-80440.0,Complete,Divvy_2022_Q2.pdf
Divvy,2022,9183836.0,5115520.0,166911.0,-86720.0,Complete,Divvy_2022_Q3.pdf
Divvy,2023,9738274.0,5654397.0,260006.0,-95076.0,Complete,Divvy_2023_Q2.pdf
Divvy,2023,9380885.0,5276548.0,272555.0,-31138.0,Complete,Divvy_2023_Q3.pdf
Divvy,2024,9620383.0,5502270.0,304985.0,-27861.0,Complete,Divvy_2024_Q1.pdf
Divvy,2023,9253099.0,5205568.0,229924.0,-81640.0,Complete,Divvy_2023_Q1.pdf
Divvy,2024,9872411.0,5920566.0,318495.0,-40421.0,Complete,Divvy_2024_Q2.pdf
Divvy,2024,9122258.0,5063525.0,323028.0,-36473.0,Complete,Divvy_2024_Q3.pdf
Discovery,2023,284.0,226.0,2.3,31.0,Complete,Discovery_Bank_2023_24_Annual.pdf
Easynvest,2021,14926098.0,13020695.0,480907.0,-34357.0,Complete,Easynvest_2021_Q3.pdf
Easynvest,2022,29916559.0,25025776.0,4792231.0,-364634.0,Complete,Easynvest_2022_Annual.pdf
Divvy,2025,9045061.0,5031816.0,358450.0,,Partial(3/4),Divvy_2025_Q1.pdf
Divvy,2025,9674206.0,5864812.0,362554.0,,Partial(3/4),Divvy_2025_Q2.pdf
Easynvest,2023,29489391.0,24280870.0,1618667.0,,Partial(3/4),Easynvest_2023_Q1.pdf
Easynvest,2021,19858681.0,15416140.0,1698023.0,-165334.0,Complete,Easynvest_2021_Annual.pdf
Easynvest,2023,33608083.0,27963484.0,1868640.0,,Partial(3/4),Easynvest_2023_Q2.pdf
Easynvest,2022,24258003.0,19467421.0,877267.0,,Partial(3/4),Easynvest_2022_Q1.pdf
Easynvest,2023,35693242.0,29803924.0,2136758.0,,Partial(3/4),Easynvest_2023_Q3.pdf
Easynvest,2023,43345195.0,36938810.0,8028976.0,,Partial(3/4),Easynvest_2023_Annual.pdf
Easynvest,2024,49931214.0,42284138.0,11517075.0,,Partial(3/4),Easynvest_2024_Annual.pdf
Easynvest,2022,25188681.0,20450522.0,1157561.0,-29850.0,Complete,Easynvest_2022_Q2.pdf
Easynvest,2024,43839497.0,37036806.0,2735901.0,378814.0,Complete,Easynvest_2024_Q1.pdf
Easynvest,2022,26006988.0,21254306.0,1306867.0,,Partial(3/4),Easynvest_2022_Q3.pdf
Easynvest,2024,44802730.0,37879290.0,2848691.0,487272.0,Complete,Easynvest_2024_Q2.pdf
Easynvest,2024,48637850.0,40993502.0,2943188.0,553386.0,Complete,Easynvest_2024_Q3.pdf
Fusion,2022,4185956000.0,3450477000.0,,,Partial(2/4),Fusion_Bank_2022_Q1_Q2.pdf
Fusion,2022,4185956000.0,3450477000.0,,,Partial(2/4),Fusion_Bank_2022_Q1Q2.pdf
Fusion,2022,4185956000.0,3450477000.0,,,Partial(2/4),Fusion_Bank_2022_Q1、Q2.pdf
Fusion,2023,3491423000.0,2870504000.0,,,Partial(2/4),Fusion_Bank_2023_Q1_Q2.pdf
Fusion,2023,3491423000.0,2870504000.0,,,Partial(2/4),Fusion_Bank_2023_Q1Q2.pdf
GXS,2023,946944544.0,602176121.0,,-208196372.0,Partial(3/4),GXS_Bank_2023_Annual.pdf
GXS,2022,268209564.0,77215882.0,,-131120894.0,Partial(3/4),GXS_Bank_2022_Annual.pdf
Green,2022,157569685.0,31549363.0,,,Partial(2/4),Green_Link_Digital_Bank_2022_Annual.pdf
Fusion,2023,5677505000000.0,4676630000000.0,,,Partial(2/4),Fusion_Bank_2023_Annual.pdf
Green,2023,497163.0,351150.0,,-30007.0,Partial(3/4),Green_Link_Digital_Bank_2023_Annual.pdf
Fusion,2023,3491423000.0,2870504000.0,,,Partial(2/4),Fusion_Bank_2023_Q1、Q2.pdf
Fusion,2024,7098969000.0,6225409000.0,,,Partial(2/4),Fusion_Bank_2024_Q1Q2.pdf
