company,year,file_name,validation_status,regex_unit,regex_multiplier,regex_total_assets,llm_total_assets,final_total_assets,total_assets_confidence,total_assets_similarity,total_assets_selection,regex_total_liabilities,llm_total_liabilities,final_total_liabilities,total_liabilities_confidence,total_liabilities_similarity,total_liabilities_selection,regex_revenue,llm_revenue,final_revenue,revenue_confidence,revenue_similarity,revenue_selection,regex_net_profit,llm_net_profit,final_net_profit,net_profit_confidence,net_profit_similarity,net_profit_selection,field_details,regex_status,llm_status,pages_read,llm_confidence,llm_unit_note
Airstarbank,2019,Airstarbank_2019_Annual.pdf,Regex Only,yuan,1,1523878862.0,,1523878862.0,medium,0.0,Regex only,101915382.0,,101915382.0,medium,0.0,Regex only,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,total_assets:single_source; total_liabilities:single_source; revenue:low_confidence; net_profit:low_confidence,Partial,Disabled,36,N/A,
Airstarbank,2020,Airstarbank_2020_Annual.pdf,Regex Only,yuan,1,2880469.0,,2880469.0,medium,0.0,Regex only,1677433.0,,1677433.0,medium,0.0,Regex only,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,total_assets:single_source; total_liabilities:single_source; revenue:low_confidence; net_profit:low_confidence,Partial,Disabled,49,N/A,
Airstarbank,2020,Airstarbank_2020_Q1_Q2.pdf,Regex Only,yuan,1,1836307098.0,,1836307098.0,medium,0.0,Regex only,497993666.0,,497993666.0,medium,0.0,Regex only,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,total_assets:single_source; total_liabilities:single_source; revenue:low_confidence; net_profit:low_confidence,Partial,Disabled,14,N/A,
Airstarbank,2020,Airstarbank_2020_Q1、Q2.pdf,Regex Only,yuan,1,1836307098.0,,1836307098.0,medium,0.0,Regex only,497993666.0,,497993666.0,medium,0.0,Regex only,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,total_assets:single_source; total_liabilities:single_source; revenue:low_confidence; net_profit:low_confidence,Partial,Disabled,14,N/A,
Airstarbank,2021,Airstarbank_2021_Annual.pdf,Regex Only,yuan,1,3227586.0,,3227586.0,medium,0.0,Regex only,2266139.0,,2266139.0,medium,0.0,Regex only,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,total_assets:single_source; total_liabilities:single_source; revenue:low_confidence; net_profit:low_confidence,Partial,Disabled,48,N/A,
Airstarbank,2021,Airstarbank_2021_Q1_Q2.pdf,Regex Only,yuan,1,3464490.0,,3464490.0,medium,0.0,Regex only,2390450.0,,2390450.0,medium,0.0,Regex only,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,total_assets:single_source; total_liabilities:single_source; revenue:low_confidence; net_profit:low_confidence,Partial,Disabled,14,N/A,
Airstarbank,2021,Airstarbank_2021_Q1、Q2.pdf,Regex Only,yuan,1,3464490.0,,3464490.0,medium,0.0,Regex only,2390450.0,,2390450.0,medium,0.0,Regex only,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,total_assets:single_source; total_liabilities:single_source; revenue:low_confidence; net_profit:low_confidence,Partial,Disabled,14,N/A,
Airstarbank,2022,Airstarbank_2022_Annual.pdf,Both Failed,,1,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,total_assets:low_confidence; total_liabilities:low_confidence; revenue:low_confidence; net_profit:low_confidence,Error: No /Root object! - Is this really a PDF?,Disabled,0,N/A,
Airstarbank,2022,Airstarbank_2022_Q1_Q2.pdf,Regex Only,yuan,1,2857826.0,,2857826.0,medium,0.0,Regex only,1996911.0,,1996911.0,medium,0.0,Regex only,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,total_assets:single_source; total_liabilities:single_source; revenue:low_confidence; net_profit:low_confidence,Partial,Disabled,14,N/A,
Airstarbank,2022,Airstarbank_2022_Q1、Q2.pdf,Regex Only,yuan,1,2857826.0,,2857826.0,medium,0.0,Regex only,1996911.0,,1996911.0,medium,0.0,Regex only,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,total_assets:single_source; total_liabilities:single_source; revenue:low_confidence; net_profit:low_confidence,Partial,Disabled,14,N/A,
Airstarbank,2023,Airstarbank_2023_Annual.pdf,Regex Only,yuan,1,2325593.0,,2325593.0,medium,0.0,Regex only,1768056.0,,1768056.0,medium,0.0,Regex only,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,total_assets:single_source; total_liabilities:single_source; revenue:low_confidence; net_profit:low_confidence,Partial,Disabled,50,N/A,
Airstarbank,2023,Airstarbank_2023_Q1_Q2.pdf,Both Failed,,1,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,total_assets:low_confidence; total_liabilities:low_confidence; revenue:low_confidence; net_profit:low_confidence,Empty PDF,Disabled,20,N/A,
Airstarbank,2023,Airstarbank_2023_Q1、Q2.pdf,Both Failed,,1,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,total_assets:low_confidence; total_liabilities:low_confidence; revenue:low_confidence; net_profit:low_confidence,Empty PDF,Disabled,20,N/A,
Airstarbank,2024,Airstarbank_2024_Q1_Q2.pdf,Regex Only,yuan,1,2707842.0,,2707842.0,medium,0.0,Regex only,1836897.0,,1836897.0,medium,0.0,Regex only,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,total_assets:single_source; total_liabilities:single_source; revenue:low_confidence; net_profit:low_confidence,Partial,Disabled,19,N/A,
Airstarbank,2024,Airstarbank_2024_Q1、Q2.pdf,Regex Only,yuan,1,2707842.0,,2707842.0,medium,0.0,Regex only,1836897.0,,1836897.0,medium,0.0,Regex only,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,total_assets:single_source; total_liabilities:single_source; revenue:low_confidence; net_profit:low_confidence,Partial,Disabled,19,N/A,
ZA,2020,ZA_Bank_2020_Annual.pdf,Regex Only,yuan,1,4162025.0,,4162025.0,medium,0.0,Regex only,2976969.0,,2976969.0,medium,0.0,Regex only,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,total_assets:single_source; total_liabilities:single_source; revenue:low_confidence; net_profit:low_confidence,Partial,Disabled,13,N/A,
ZA,2020,ZA_Bank_2020_Q1Q2.pdf,Both Failed,,1,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,total_assets:low_confidence; total_liabilities:low_confidence; revenue:low_confidence; net_profit:low_confidence,Error: No /Root object! - Is this really a PDF?,Disabled,0,N/A,
ZA,2021,ZA_Bank_2021_Annual.pdf,Regex Only,yuan,1,9912034.0,,9912034.0,medium,0.0,Regex only,8129471.0,,8129471.0,medium,0.0,Regex only,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,total_assets:single_source; total_liabilities:single_source; revenue:low_confidence; net_profit:low_confidence,Partial,Disabled,15,N/A,
ZA,2021,ZA_Bank_2021_Q1Q2.pdf,Both Failed,,1,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,total_assets:low_confidence; total_liabilities:low_confidence; revenue:low_confidence; net_profit:low_confidence,Error: No /Root object! - Is this really a PDF?,Disabled,0,N/A,
ZA,2022,ZA_Bank_2022_Annual.pdf,Regex Only,yuan,1,10715157.0,,10715157.0,medium,0.0,Regex only,8456388.0,,8456388.0,medium,0.0,Regex only,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,total_assets:single_source; total_liabilities:single_source; revenue:low_confidence; net_profit:low_confidence,Partial,Disabled,16,N/A,
ZA,2022,ZA_Bank_2022_Q1Q2.pdf,Both Failed,,1,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,total_assets:low_confidence; total_liabilities:low_confidence; revenue:low_confidence; net_profit:low_confidence,Error: No /Root object! - Is this really a PDF?,Disabled,0,N/A,
ZA,2023,ZA_Bank_2023_Annual.pdf,Regex Only,yuan,1,13030228.0,,13030228.0,medium,0.0,Regex only,10979394.0,,10979394.0,medium,0.0,Regex only,20987.0,,20987.0,medium,0.0,Regex only,,,,none,0.0,Both methods failed,total_assets:single_source; total_liabilities:single_source; revenue:single_source; net_profit:low_confidence,Partial,Disabled,16,N/A,
ZA,2023,ZA_Bank_2023_Q1Q2.pdf,Both Failed,,1,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,total_assets:low_confidence; total_liabilities:low_confidence; revenue:low_confidence; net_profit:low_confidence,Error: No /Root object! - Is this really a PDF?,Disabled,0,N/A,
ZA,2024,ZA_Bank_2024_Annual.pdf,Regex Only,yuan,1,19952965.0,,19952965.0,medium,0.0,Regex only,18042037.0,,18042037.0,medium,0.0,Regex only,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,total_assets:single_source; total_liabilities:single_source; revenue:low_confidence; net_profit:low_confidence,Partial,Disabled,14,N/A,
ZA,2024,ZA_Bank_2024_Q1Q2.pdf,Both Failed,,1,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,total_assets:low_confidence; total_liabilities:low_confidence; revenue:low_confidence; net_profit:low_confidence,Error: No /Root object! - Is this really a PDF?,Disabled,0,N/A,
weLab,2018,weLab_Bank_2018_Annual.pdf,Both Failed,yuan,1,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,total_assets:low_confidence; total_liabilities:low_confidence; revenue:low_confidence; net_profit:low_confidence,Failed,Disabled,24,N/A,
weLab,2019,weLab_Bank_2019_Annual.pdf,Both Failed,,1,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,total_assets:low_confidence; total_liabilities:low_confidence; revenue:low_confidence; net_profit:low_confidence,Empty PDF,Disabled,37,N/A,
weLab,2020,weLab_Bank_2020_Annual.pdf,Both Failed,,1,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,total_assets:low_confidence; total_liabilities:low_confidence; revenue:low_confidence; net_profit:low_confidence,Empty PDF,Disabled,50,N/A,
weLab,2020,weLab_Bank_2020_Q1_Q2.pdf,Regex Only,yuan,1,776078.0,,776078.0,medium,0.0,Regex only,259192.0,,259192.0,medium,0.0,Regex only,4.0,,4.0,medium,0.0,Regex only,,,,none,0.0,Both methods failed,total_assets:single_source; total_liabilities:single_source; revenue:single_source; net_profit:low_confidence,Partial,Disabled,16,N/A,
weLab,2021,weLab_Bank_2021_Annual.pdf,Both Failed,yuan,1,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,total_assets:low_confidence; total_liabilities:low_confidence; revenue:low_confidence; net_profit:low_confidence,Failed,Disabled,50,N/A,
weLab,2021,weLab_Bank_2021_Q1_Q2.pdf,Regex Only,yuan,1,2723303.0,,2723303.0,medium,0.0,Regex only,2188491.0,,2188491.0,medium,0.0,Regex only,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,total_assets:single_source; total_liabilities:single_source; revenue:low_confidence; net_profit:low_confidence,Partial,Disabled,19,N/A,
weLab,2022,weLab_Bank_2022_Annual.pdf,Both Failed,yuan,1,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,,,,none,0.0,Both methods failed,total_assets:low_confidence; total_liabilities:low_confidence; revenue:low_confidence; net_profit:low_confidence,Failed,Disabled,50,N/A,
