Company,Year,Total Assets,Total Liabilities,Revenue,Net Profit,Method,File,Status,Success Level,Currency,Unit,Language
Acorns,2015,,,,,regex,Acorns_2015_16_Annual.pdf,Failed,Failed,,,
Acorns,2016,,,,,regex,Acorns_2016_17_Annual.pdf,Failed,Failed,,,
Airstarbank,2022,,,,,cached,,Failed,,,,
Airstarbank,2023,,,,,regex,Airstarbank_2023_Q1_Q2.pdf,Failed,Failed,,,
Airstarbank,2023,,,,,regex,Airstarbank_2023_Q1、Q2.pdf,Failed,Failed,,,
Airtel,2022,,,,,regex,Airtel_P_Bank_2022_23_Annual.pdf,Failed,Failed,,,
Afterpay,2021,,,,,regex,Afterpay_2021_Annual.pdf,Failed,Failed,,,
Airtel,2023,,,,,regex,Airtel_P_Bank_2023_24_Annual.pdf,Failed,Failed,,,
Afterpay,2020,,,,,regex,Afterpay_2020_Annual.pdf,Failed,Failed,,,
Afterpay,2022,,,,,regex,Afterpay_2022_Annual.pdf,Failed,Failed,,,
Aprila,2019,,,,,regex,Aprila_Bank_2019_Annual.pdf,Failed,Failed,,,
Aprila,2020,,,,,regex,Aprila_Bank_2020_Annual.pdf,Failed,Failed,,,
Aprila,2021,,,,,regex,Aprila_Bank_2021_Annual.pdf,Failed,Failed,,,
Aprila,2022,,,,,regex,Aprila_Bank_2022_Annual.pdf,Failed,Failed,,,
Aprila,2023,,,,,regex,Aprila_Bank_2023_Annual.pdf,Failed,Failed,,,
Better.com,2023,,,,,regex,Better.com_2023_Annual.pdf,Failed,Failed,,,
Better.com,2024,,,,,regex,Better.com_2024_Annual.pdf,Failed,Failed,,,
BharatPe,2021,,,,,regex,BharatPe_2021_22_Annual.pdf,Failed,Failed,,,
Azlo,2024,,,,,regex,Azlo_2024_Annual.pdf,Failed,Failed,,,
BharatPe,2022,,,,,regex,BharatPe_2022_23_Annual.pdf,Failed,Failed,,,
Better.com,2023,,,,,regex,Better.com_2023_Q4.pdf,Failed,Failed,,,
BharatPe,2023,,,,,regex,BharatPe_2023_24_Annual.pdf,Failed,Failed,,,
Better.com,2024,,,,,regex,Better.com_2024_Q4.pdf,Failed,Failed,,,
Broxel,2023,,,,,regex,Broxel_2023_Annual.pdf,Failed,Failed,,,
Broxel,2022,,,,,regex,Broxel_2022_Annual.pdf,Failed,Failed,,,
Brubank,2023,,,,,regex,Brubank_2023_Annual.pdf,Failed,Failed,,,
C6,2020,,,,,regex,C6_Bank_2020_Annual.pdf,Failed,Failed,,,
C6,2021,,,,,regex,C6_Bank_2021_Annual.pdf,Failed,Failed,,,
C6,2023,,,,,regex,C6_Bank_2023_Annual.pdf,Failed,Failed,,,
CIMB,2003,,,,,regex,CIMB_2003_Annual.pdf,Failed,Failed,,,
C6,2022,,,,,regex,C6_Bank_2022_Annual.pdf,Failed,Failed,,,
CIMB,2004,,,,,regex,CIMB_2004_Annual.pdf,Failed,Failed,,,
CIMB,2009,,,,,regex,CIMB_2009_Annual.pdf,Failed,Failed,,,
CIMB,2005,,,,,regex,CIMB_2005_Annual.pdf,Failed,Failed,,,
CIMB,2010,,,,,regex,CIMB_2010_Annual.pdf,Failed,Failed,,,
CIMB,2011,,,,,regex,CIMB_2011_Annual.pdf,Failed,Failed,,,
CIMB,2012,,,,,regex,CIMB_2012_Annual.pdf,Failed,Failed,,,
CIMB,2013,,,,,regex,CIMB_2013_Annual.pdf,Failed,Failed,,,
CIMB,2014,,,,,regex,CIMB_2014_Annual.pdf,Failed,Failed,,,
CIMB,2016,,,,,regex,CIMB_2016_Annual.pdf,Failed,Failed,,,
CIMB,2018,,59.0,,,regex,CIMB_2018_Annual.pdf,Success,Partial(1/4),,,
CIMB,2019,,11.0,,,regex,CIMB_2019_Annual.pdf,Success,Partial(1/4),,,
CIMB,2020,,,,,regex,CIMB_2020_Annual.pdf,Failed,Failed,,,
CIMB,2022,,,,,regex,CIMB_2022_Annual.pdf,Failed,Failed,,,
CIMB,2021,,32.0,,,regex,CIMB_2021_Annual.pdf,Success,Partial(1/4),,,
CIMB,2023,,,,,regex,CIMB_2023_Annual.pdf,Failed,Failed,,,
Card,2021,,,,,regex,Card_by_Coinbase_2021_Annual.pdf,Failed,Failed,,,
Card,2022,,,,,regex,Card_by_Coinbase_2022_Annual.pdf,Failed,Failed,,,
Card,2023,,,,,regex,Card_by_Coinbase_2023_Annual.pdf,Failed,Failed,,,
Card,2024,,,,,regex,Card_by_Coinbase_2024_Annual.pdf,Failed,Failed,,,
