company_name,year,file_name,total_assets,total_liabilities,revenue,net_profit
Airstarbank,2019,Airstarbank_2019_Annual.pdf,1523878862,101915382,,
Airstarbank,2020,Airstarbank_2020_Q1_Q2.pdf,1836307098,497993666,,
Airstarbank,2020,Airstarbank_2020_Annual.pdf,2880469,1677433,,
Airstarbank,2021,Airstarbank_2021_Annual.pdf,3227586,2266139,,
Airstarbank,2021,Airstarbank_2021_Q1_Q2.pdf,3464490,2390450,,
Airstarbank,2022,Airstarbank_2022_Q1_Q2.pdf,2857826,1996911,,
Airstarbank,2022,Airstarbank_2022_Annual.pdf,,,,
Airstarbank,2023,Airstarbank_2023_Annual.pdf,2325593,1768056,,
Airstarbank,2023,Airstarbank_2023_Q1_Q2.pdf,,,,
Airstarbank,2024,Airstarbank_2024_Q1_Q2.pdf,2707842,1836897,,
Ant,2018,Ant_Bank_2018_Annual.pdf,,,,
Ant,2019,Ant_Bank_2019_Annual.pdf,,,,
Ant,2020,Ant_Bank_2020_Annual.pdf,,,,
Ant,2020,Ant_Bank_2020_Q1_Q2.pdf,,,,
Ant,2021,Ant_Bank_2021_Q1_Q2.pdf,,,,
Ant,2021,Ant_Bank_2021_Annual.pdf,,,,
Ant,2022,Ant_Bank_2022_Annual.pdf,,,,
Ant,2022,Ant_Bank_2022_Q1_Q2.pdf,,,,
Ant,2023,Ant_Bank_2023_Q1_Q2.pdf,,,,
Ant,2023,Ant_Bank_2023_Annual.pdf,,,,
Ant,2024,Ant_Bank_2024_Q1_Q2.pdf,,,,
Fusion,2018,Fusion_Bank_2018_Annual.pdf,,,,
Fusion,2019,Fusion_Bank_2019_Annual.pdf,,,,
Fusion,2020,Fusion_Bank_2020_Annual.pdf,,,,
Fusion,2021,Fusion_Bank_2021_Q1_Q2.pdf,,,,
Fusion,2021,Fusion_Bank_2021_Annual.pdf,,,,
Fusion,2022,Fusion_Bank_2022_Annual.pdf,,,,
Fusion,2022,Fusion_Bank_2022_Q1_Q2.pdf,,3450477,,
Fusion,2023,Fusion_Bank_2023_Q1_Q2.pdf,,2870504,,
Fusion,2023,Fusion_Bank_2023_Annual.pdf,5677505,4676630,,
Fusion,2024,Fusion_Bank_2024_Q1_Q2.pdf,,6225409,,
Klarna,2015,Klarna_2015_Annual.pdf,,,,
Klarna,2016,Klarna_2016_Q1_Q2.pdf,9845198,7260028,5072,
Klarna,2016,Klarna_2016_Annual.pdf,12,9,168,
Klarna,2017,Klarna_2017_Annual.pdf,,,,
Klarna,2017,Klarna_2017_Q1_Q2.pdf,12804553,9700935,1865908,
Klarna,2018,Klarna_2018_Annual.pdf,,,,
Klarna,2018,Klarna_2018_Q1_Q2.pdf,,,,
Klarna,2019,Klarna_2019_Q1_Q2.pdf,30452850,,8333,
Klarna,2019,Klarna_2019_Annual.pdf,,,,
Klarna,2020,Klarna_2020_Annual.pdf,,,,
Klarna,2020,Klarna_2020_Q1_Q2.pdf,,,,
Klarna,2021,Klarna_2021_Q1_Q2.pdf,,,,
Klarna,2021,Klarna_2021_Annual.pdf,,,,
Klarna,2022,Klarna_2022_Annual.pdf,,,,
Klarna,2022,Klarna_2022_Q1_Q2.pdf,,,,
Klarna,2023,Klarna_2023_Q1_Q2.pdf,,,0,
Klarna,2023,Klarna_2023_Annual.pdf,,,19798,
Klarna,2024,Klarna_2024_Q1_Q2.pdf,,,,-2
Livi,2019,Livi_Bank_2019_Annual.pdf,,,,
Livi,2020,Livi_Bank_2020_Annual.pdf,,,,
Livi,2020,Livi_Bank_2020_Q1_Q2.pdf,2421633,308131,,
Livi,2021,Livi_Bank_2021_Annual.pdf,,,,
Livi,2021,Livi_Bank_2021_Q1_Q2.pdf,,,,
Livi,2022,Livi_Bank_2022_Q1_Q2.pdf,,,,
Livi,2022,Livi_Bank_2022_Annual.pdf,,,,
Livi,2023,Livi_Bank_2023_Annual.pdf,,,,
Livi,2023,Livi_Bank_2023_Q1_Q2.pdf,3934782,2667890,,
Livi,2024,Livi_Bank_2024_Q1_Q2.pdf,4901750,3018211,104171,
MOXBank,2020,MOXBank_2020_Annual.pdf,,,,
MOXBank,2020,MOXBank_2020_Q1_Q2.pdf,,,,
MOXBank,2021,MOXBank_2021_Annual.pdf,,,12,
MOXBank,2021,MOXBank_2021_Q1_Q2.pdf,,,,
MOXBank,2022,MOXBank_2022_Q1_Q2.pdf,,,6,
MOXBank,2022,MOXBank_2022_Annual.pdf,,,12,
MOXBank,2023,MOXBank_2023_Q1_Q2.pdf,,,6,
MOXBank,2023,MOXBank_2023_Annual.pdf,,,9,
MOXBank,2024,MOXBank_2024_Q1_Q2.pdf,,,,
PAO,2020,PAO_Bank_2020_Annual.pdf,1220177,608885,,
PAO,2020,PAO_Bank_2020_Q1_Q2.pdf,,111487,,
PAO,2021,PAO_Bank_2021_Q1_Q2.pdf,1436869,641290,,
PAO,2021,PAO_Bank_2021_Annual.pdf,2483953,1786305,,
PAO,2022,PAO_Bank_2022_Annual.pdf,3192634,2344735,96900,
PAO,2022,PAO_Bank_2022_Q1_Q2.pdf,2809891,2185468,,
PAO,2023,PAO_Bank_2023_Q1_Q2.pdf,3078119,2316113,,
PAO,2023,PAO_Bank_2023_Annual.pdf,3304686,2636683,,
PAO,2024,PAO_Bank_2024_Q1_Q2.pdf,5217256,4306466,,
Revolut,2016,Revolut_2016_Annual.pdf,,,,
Revolut,2017,Revolut_2017_Annual.pdf,,,,
Revolut,2018,Revolut_2018_Annual.pdf,,,,
Revolut,2019,Revolut_2019_Annual.pdf,,,,
Revolut,2020,Revolut_2020_Annual.pdf,,,,
Revolut,2021,Revolut_2021_Annual.pdf,,,,-2021
Revolut,2022,Revolut_2022_Annual.pdf,,,,
Revolut,2023,Revolut_2023_Annual.pdf,,,,
